occ_code,title,observed_exposure,indonesia_usage_pct,n_tasks,quad
11-1011,Chief Executives,0.0333,0.1663893510815307,1,low_low
11-1021,General and Operations Managers,0.1378,0.0,0,high_low
11-2011,Advertising and Promotions Managers,0.1731,0.0,0,high_low
11-2021,Marketing Managers,0.3195,0.0,0,high_low
11-2022,Sales Managers,0.0433,0.0,0,low_low
11-2032,Public Relations Managers,0.2315,0.0,0,high_low
11-3013,Facilities Managers,0.1345,0.0,0,high_low
11-3021,Computer and Information Systems Managers,0.1559,0.0,0,high_low
11-3031,Financial Managers,0.3907,0.0,0,high_low
11-3051,Industrial Production Managers,0.0132,0.0,0,low_low
11-3061,Purchasing Managers,0.2004,0.0,0,high_low
11-3071,"Transportation, Storage, and Distribution Managers",0.0956,0.0,0,low_low
11-3131,Training and Development Managers,0.3777,0.0,0,high_low
11-9021,Construction Managers,0.1186,0.0,0,high_low
11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.0395,0.0,0,low_low
11-9032,"Education Administrators, Kindergarten through Secondary",0.0525,0.088740987243483,1,low_low
11-9033,"Education Administrators, Postsecondary",0.0644,0.0,0,low_low
11-9041,Architectural and Engineering Managers,0.0306,0.0,0,low_low
11-9081,Lodging Managers,0.1215,0.0,0,high_low
11-9111,Medical and Health Services Managers,0.0659,0.3161397670549085,1,low_high
11-9121,Natural Sciences Managers,0.0613,0.0,0,low_low
11-9141,"Property, Real Estate, and Community Association Managers",0.1653,0.0,0,high_low
11-9151,Social and Community Service Managers,0.1808,0.0,0,high_low
11-9171,Funeral Home Managers,0.0108,0.0,0,low_low
11-9179,"Personal Service Managers, All Other",0.1244,0.0,0,high_low
11-9199,"Managers, All Other",0.0686,0.0,0,low_low
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.118,0.0,0,high_low
13-1031,"Claims Adjusters, Examiners, and Investigators",0.0818,0.0,0,low_low
13-1041,Compliance Officers,0.1211,0.0,0,high_low
13-1071,Human Resources Specialists,0.4034,0.0,0,high_low
13-1081,Logisticians,0.1571,0.0,0,high_low
13-1111,Management Analysts,0.2435,0.0,0,high_low
13-1121,"Meeting, Convention, and Event Planners",0.1023,0.0,0,low_low
13-1131,Fundraisers,0.0466,0.0,0,low_low
13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.0649,0.0,0,low_low
13-1151,Training and Development Specialists,0.2793,0.0,0,high_low
13-1161,Market Research Analysts and Marketing Specialists,0.6483,0.0,0,high_low
13-1199,"Business Operations Specialists, All Other",0.1846,0.0,0,high_low
13-2011,Accountants and Auditors,0.3478,0.0,0,high_low
13-2031,Budget Analysts,0.0672,0.0,0,low_low
13-2041,Credit Analysts,0.1685,0.0,0,high_low
13-2051,Financial and Investment Analysts,0.5716,0.0,0,high_low
13-2052,Personal Financial Advisors,0.3504,0.21630615640598988,2,high_high
13-2053,Insurance Underwriters,0.0625,0.0,0,low_low
13-2054,Financial Risk Specialists,0.2649,0.0,0,high_low
13-2061,Financial Examiners,0.0428,0.0,0,low_low
13-2071,Credit Counselors,0.2341,0.0942872989462007,1,high_low
13-2072,Loan Officers,0.1857,0.0,0,high_low
13-2081,"Tax Examiners and Collectors, and Revenue Agents",0.0275,0.0,0,low_low
13-2082,Tax Preparers,0.1283,0.0,0,high_low
13-2099,"Financial Specialists, All Other",0.2202,0.0,0,high_low
15-1211,Computer Systems Analysts,0.2763,0.0,0,high_low
15-1212,Information Security Analysts,0.4859,0.0,0,high_low
15-1221,Computer and Information Research Scientists,0.3404,0.0,0,high_low
15-1231,Computer Network Support Specialists,0.2867,0.0,0,high_low
15-1232,Computer User Support Specialists,0.4685,0.0,0,high_low
15-1241,Computer Network Architects,0.1987,0.0,0,high_low
15-1242,Database Administrators,0.3315,0.0,0,high_low
15-1243,Database Architects,0.5787,0.0,0,high_low
15-1244,Network and Computer Systems Administrators,0.3373,0.0,0,high_low
15-1251,Computer Programmers,0.7451,0.0,0,high_low
15-1252,Software Developers,0.288,0.0,0,high_low
15-1253,Software Quality Assurance Analysts and Testers,0.5195,0.0,0,high_low
15-1254,Web Developers,0.4802,0.0,0,high_low
15-1255,Web and Digital Interface Designers,0.249,0.0,0,high_low
15-1299,"Computer Occupations, All Other",0.3106,0.0,0,high_low
15-2011,Actuaries,0.0539,0.0998336106489184,1,low_low
15-2021,Mathematicians,0.4241,0.14420410427066,1,high_low
15-2031,Operations Research Analysts,0.4288,0.0,0,high_low
15-2041,Statisticians,0.2107,0.0,0,high_low
15-2051,Data Scientists,0.4605,0.0,0,high_low
15-2099,"Mathematical Science Occupations, All Other",0.4793,0.0,0,high_low
17-1011,"Architects, Except Landscape and Naval",0.0784,0.0,0,low_low
17-1021,Cartographers and Photogrammetrists,0.08,0.0,0,low_low
17-1022,Surveyors,0.0022,0.0,0,low_low
17-2011,Aerospace Engineers,0.0753,0.0,0,low_low
17-2031,Bioengineers and Biomedical Engineers,0.1328,0.0,0,high_low
17-2051,Civil Engineers,0.0081,0.0,0,low_low
17-2061,Computer Hardware Engineers,0.1453,0.0,0,high_low
17-2071,Electrical Engineers,0.059,0.0,0,low_low
17-2072,"Electronics Engineers, Except Computer",0.0999,0.0,0,low_low
17-2081,Environmental Engineers,0.0358,0.0,0,low_low
17-2112,Industrial Engineers,0.0367,0.0,0,low_low
17-2121,Marine Engineers and Naval Architects,0.0358,0.0,0,low_low
17-2141,Mechanical Engineers,0.0813,0.0,0,low_low
