occ_code,title,observed_exposure,indonesia_share,global_median,n_countries,RCA,soc_major,soc_label,quadrant
11-1011,Chief Executives,0.0333,0.21521388430924138,0.2958579881656805,27.0,0.7274229289652359,11,Management,LL
11-2011,Advertising and Promotions Managers,0.1731,0.0,0.26567879060020944,17.0,0.0,11,Management,HL
11-2021,Marketing Managers,0.3195,0.0,0.11600059871276756,9.0,0.0,11,Management,HL
11-3021,Computer and Information Systems Managers,0.1559,0.0,0.21079467021747733,16.0,0.0,11,Management,LL
11-3031,Financial Managers,0.3907,0.0,0.07240432646688826,6.0,0.0,11,Management,HL
11-9032,"Education Administrators, Kindergarten through Secondary",0.0525,0.11478073829826202,0.11478073829826202,9.0,1.0,11,Management,LH
11-9041,Architectural and Engineering Managers,0.0306,0.0,0.05710371320844977,5.0,0.0,11,Management,LL
11-9111,Medical and Health Services Managers,0.0659,0.4089063801875588,0.11788214831759332,14.0,3.4687727193934386,11,Management,LH
11-9121,Natural Sciences Managers,0.0613,0.0,0.13278441377710778,9.0,0.0,11,Management,LL
11-9199,"Managers, All Other",0.0686,0.0,0.25036778406460564,14.0,0.0,11,Management,LL
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.118,0.0,0.3942943291197961,17.0,0.0,13,Business & Financial,LL
13-1111,Management Analysts,0.2435,0.0,0.13471037269869773,11.0,0.0,13,Business & Financial,HL
13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.0649,0.0,0.1611967992577989,13.0,0.0,13,Business & Financial,LL
13-1161,Market Research Analysts and Marketing Specialists,0.6483,0.0,0.20514011456881853,11.0,0.0,13,Business & Financial,HL
13-1199,"Business Operations Specialists, All Other",0.1846,0.0,0.27338174008459354,14.0,0.0,13,Business & Financial,HL
13-2051,Financial and Investment Analysts,0.5716,0.0,0.14273253508841477,9.0,0.0,13,Business & Financial,HL
13-2052,Personal Financial Advisors,0.3504,0.27977804960201375,0.3340186576984383,18.0,0.8376120409854633,13,Business & Financial,HL
13-2061,Financial Examiners,0.0428,0.0,0.08458792400947532,6.0,0.0,13,Business & Financial,LL
