request,indonesia_pct,global_median_pct,n_countries,RCA
"Adjust text length to meet specific word, character, or page requirements",0.1386577925679423,0.14091939861066244,19,0.9839510666024869
Analyze and critique existing literary works and texts,0.1552967276760954,0.20534082544062895,21,0.7562876371167456
Analyze and extract structured data from technical documents and files,0.1386577925679423,0.1652892561983471,24,0.838879645036051
Analyze and identify content in shared images,0.1386577925679423,0.17639261732011086,25,0.7860748067268101
Analyze and interpret uploaded image content,0.3549639489739323,0.1377530305666724,20,2.576814081793503
Analyze and optimize system performance monitoring and operational metrics,0.0998336106489184,0.1370989854675075,18,0.7281863560732109
Analyze business data and create performance reports with insights,0.1331114808652246,0.1964154186103609,24,0.6777038269550747
Analyze code for security vulnerabilities and implement security measures,0.1275651691625069,0.17282973912271105,25,0.7380973309919435
Analyze company financial data and create comprehensive reports,0.1941209095951192,0.185196862098232,22,1.0481868180474556
Analyze controversial political topics and polarizing social issues,0.160843039378813,0.16040872173707885,19,1.0027075687470788
Analyze documents and create audit reports and compliance assessments,0.1941209095951192,0.15314942870309556,19,1.267526175180538
Analyze fictional media content and develop character profiles,0.1386577925679423,0.2230984746290339,26,0.6215093706870978
"Analyze geopolitical conflicts, wars, and international security issues",0.2551303383250138,0.1739187504101857,22,1.4669513075691456
"Analyze international trade policies, tariffs, and economic impacts",0.1552967276760954,0.1017260615606746,14,1.526616928774624
Answer multiple unrelated questions across diverse topics,0.3161397670549085,0.2489689644031396,33,1.269795887261689
Build and develop AI chatbot systems and conversational applications,0.2107598447032723,0.2544339311597584,32,0.828348026313113
Build and develop complete Flutter mobile applications with full features,0.2551303383250138,0.2771699489423778,21,0.9204834048515631
Build complete React applications and websites from scratch,0.088740987243483,0.1095287456809822,15,0.8102072811273997
Build comprehensive e-commerce systems and platform integrations,0.1885745978924015,0.1807689633595216,24,1.0431801698024659
Build functional web applications and interactive HTML tools,0.2107598447032723,0.1944647990530409,24,1.0837943202552915
Build healthcare technology applications and digital medical systems,0.2828618968386023,0.3038282357707109,34,0.9309927897947866
"Calculate financial returns, interest rates, and business profit margins",0.160843039378813,0.2294375304178544,31,0.7010319501168084
Check if my sentence or text is grammatically correct,0.1663893510815307,0.194300518134715,24,0.8563505268996114
Compare two items and analyze their differences or similarities,0.0942872989462007,0.1909080062045102,28,0.4938886577925676
Complete nursing assignments and hospital administrative documents,0.5268996117581808,0.15499968146854445,21,3.399359319748728
Conduct comprehensive financial analysis and strategic business planning,0.1830282861896838,0.15905543363356717,21,1.1507201106461125
Conduct performance evaluations and create assessment frameworks,0.160843039378813,0.1468716341917164,18,1.0951266407838784
"Configure proxy servers, tunnels, and port forwarding for remote access",0.0998336106489184,0.1079102937036689,16,0.9251537292917598
"Convert, implement, or create web components using Tailwind CSS",0.1941209095951192,0.209366391184573,11,0.9271827655661615
"Correct grammar, spelling, and punctuation errors in documents and texts",0.14420410427066,0.319536343999677,36,0.45129171369252996
"Create and analyze humorous content, jokes, and witty responses",0.1109262340543538,0.1811416821697836,23,0.6123727721065488
Create and design business logos with specific requirements,0.160843039378813,0.1386444835492987,22,1.1601113528734162
Create and develop complete games and game development projects,0.232945091514143,0.3488879197557785,45,0.6676788685524123
Create and fix web animations and visual effects for websites,0.0831946755407653,0.11208896307678665,16,0.7422200478719096
Create and improve educational research papers and teaching materials,0.5601774819744869,0.1853467073702573,23,3.022322273335291
Create and improve organizational promotional content and communications,0.2939545202440377,0.25351904687097254,34,1.1594967868179333
Create and improve web scraping scripts for automated data extraction,0.1220188574597892,0.15299817242597602,25,0.7975183985862622
Create and manage technical documentation systems and workflows,0.1164725457570715,0.2017453317068593,30,0.5773246140154006
Create and modify Google Apps Script automation workflows,0.1220188574597892,0.0845619071240369,10,1.4429529986925411
Create and modify PowerPoint presentations and slides,0.3993344425956739,0.16769448182005509,19,2.3813213068285726
Create and modify process flowcharts and workflow diagrams,0.2995008319467554,0.1246988805441405,15,2.401792467100289
Create and optimize professional profiles and user management interfaces,0.088740987243483,0.07209593439872419,8,1.2308736683084498
Create and optimize prompts for AI image generation tools,0.1497504159733777,0.18515307389884061,25,0.8087924916396185
Create and optimize social media posts and marketing content,0.160843039378813,0.3016177680285166,37,0.53326778601321
Create budget tracking and expense management tools and systems,0.1386577925679423,0.15105007382208513,21,0.9179591181879254
Create children's stories and age-appropriate educational literature,0.1275651691625069,0.0969903965028025,13,1.31523505173856
Create complete HTML web pages and website templates from scratch,0.1663893510815307,0.1636795155086341,24,1.0165557404326118
Create complete business websites and landing pages from scratch,0.2662229617304492,0.2085795731071403,30,1.2763616195230174
Create comprehensive business documents and formal strategic reports,0.2551303383250138,0.2626272977416533,36,0.9714539978094195
Create comprehensive educational curricula and academic program materials,0.5712701053799224,0.20706116529418694,35,2.7589437380412556
Create comprehensive marketing materials and promotional content packages,0.1164725457570715,0.2976744186046511,38,0.39127495840266213
Create comprehensive quiz and exam systems with interactive features,0.28840820854132,0.1672098625478248,28,1.7248277353187254
Create custom visual designs and graphics for personal projects,0.1331114808652246,0.1349663784822286,22,0.9862565948804187
"Create database schemas, mind maps, and relationship diagrams",0.160843039378813,0.080954035006516,13,1.9868440080332836
Create detailed lesson plans and educational materials for K-12 classrooms,0.64891846921797,0.197164585484931,23,3.291252674114571
Create language tests and solve exam questions for students,0.6988352745424293,0.17560406627428785,19,3.9796075875080894
Create mathematics educational materials and teaching resources,0.2828618968386023,0.15749413827072628,23,1.7960153942515227
Create modern website designs with visual effects and animations,0.4270660011092623,0.2507631923244657,36,1.7030649400757194
Create personalized workout plans and fitness tracking applications,0.0998336106489184,0.1640742928397978,22,0.6084658901830281
Create professional technical and business diagrams with custom formatting,0.1774819744869661,0.178147268408551,24,0.9962654834535034
Create promotional marketing materials with specific design requirements,0.232945091514143,0.109914886421284,16,2.119322496693545
