occ_code,task,penetration
41-1012.00,"Listen to and resolve customer complaints regarding services, products, or personnel.",1.0
17-2061.00,Analyze user needs and recommend appropriate hardware.,1.0
17-3027.01,"Read and interpret blueprints, schematics, work specifications, drawings, or charts.",1.0
43-4181.00,"Plan routes, itineraries, and accommodation details, and compute fares and fees, using schedules, rate books, and computers.",1.0
35-9031.00,Answer telephone calls and respond to inquiries or transfer calls.,1.0
15-1121.00,Specify inputs accessed by the system and plan the distribution and use of the results.,1.0
19-3032.00,"Analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions.",1.0
13-1111.00,Gather and organize information on problems or procedures.,1.0
29-1011.00,Obtain and record patients' medical histories.,1.0
43-4181.00,Confer with customers to determine their service requirements and travel preferences.,1.0
19-1023.00,Analyze characteristics of animals to identify and classify them.,1.0
19-4091.00,"Examine and analyze material for presence and concentration of contaminants, such as asbestos, using variety of microscopes.",1.0
39-6012.00,Make travel arrangements for sightseeing or other tours.,1.0
41-2031.00,"Ticket, arrange, and display merchandise to promote sales.",1.0
43-2011.00,"Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",1.0
35-1011.00,Record production or operational data on specified forms.,1.0
41-9011.00,Learn about competitors' products or consumers' interests or concerns to answer questions or provide more complete information.,1.0
25-1052.00,"Evaluate and grade students' class work, laboratory performance, assignments, and papers.",1.0
27-2012.02,Study and research scripts to determine how they should be directed.,1.0
13-2071.00,"Maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.",1.0
43-4171.00,Analyze data to determine answers to questions from customers or members of the public.,1.0
47-1011.00,"Read specifications, such as blueprints, to determine construction requirements or to plan procedures.",1.0
15-1111.00,Assign or schedule tasks to meet work priorities and goals.,1.0
35-1012.00,Resolve customer complaints regarding food service.,1.0
25-1052.00,"Prepare and deliver lectures to undergraduate or graduate students on topics such as organic chemistry, analytical chemistry, and chemical separation.",1.0
17-2071.00,"Collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems.",1.0
43-4171.00,Hear and resolve complaints from customers or the public.,1.0
29-1141.03,Document patients' medical histories and assessment findings.,1.0
21-1022.00,"Monitor, evaluate, and record client progress according to measurable goals described in treatment and care plan.",1.0
43-4051.00,Solicit sales of new or additional services or products.,1.0
29-2031.00,"Obtain and record patient identification, medical history, or test results.",1.0
29-1066.00,"Gather and maintain patient information and records, including social or medical history obtained from patients, relatives, or other professionals.",1.0
43-4051.00,Refer unresolved customer grievances to designated departments for further investigation.,1.0
25-1121.00,"Evaluate and grade students' class work, performances, projects, assignments, and papers.",1.0
51-8093.00,"Record and compile operating data, instrument readings, documentation, and results of laboratory analyses.",1.0
25-2051.00,Organize and display students' work in a manner appropriate for their perceptual skills.,1.0
39-9041.00,"Answer telephones, and route calls or deliver messages.",1.0
51-9121.00,Record operational data on specified forms.,1.0
29-2071.00,"Retrieve patient medical records for physicians, technicians, or other medical personnel.",1.0
33-3021.06,"Gather intelligence information by field observation, confidential information sources, or public records.",1.0
41-4012.00,"Recommend products to customers, based on customers' needs and interests.",1.0
13-1023.00,"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.",1.0
49-2098.00,"Prepare documents, such as invoices or warranties.",1.0
27-4032.00,"Edit films and videotapes to insert music, dialogue, and sound effects, to arrange films into sequences, and to correct errors, using editing equipment.",1.0
25-1124.00,"Conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media.",1.0
43-9041.02,"Examine letters from policyholders or agents, original insurance applications, and other company documents to determine if changes are needed and effects of changes.",1.0
41-4012.00,Consult with clients after sales or contract signings to resolve problems and to provide ongoing support.,1.0
13-1081.00,Develop an understanding of customers' needs and take actions to ensure that such needs are met.,1.0
27-2012.03,Review information about programs and schedules to ensure accuracy and provide such information to local media outlets.,1.0
15-1199.12,"Assist in the assessment, acquisition, or deployment of new electronic document management systems.",1.0
43-4021.00,Read incoming correspondence to ascertain nature of writers' concerns and to determine disposition of correspondence.,1.0
43-4171.00,Schedule appointments and maintain and update appointment calendars.,1.0
13-1199.02,Test security measures for final acceptance and implement or provide procedures for ongoing monitoring and evaluation of the measures.,1.0
43-9111.01,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",1.0
25-1043.00,"Conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media.",1.0
13-1199.03,Monitor or trace the location of goods.,1.0
19-2041.00,"Process and review environmental permits, licenses, or related materials.",1.0
17-3025.00,"Record laboratory or field data, including numerical data, test results, photographs, or summaries of visual observations.",1.0
41-9041.00,Schedule appointments for sales representatives to meet with prospective customers or for customers to attend sales presentations.,1.0
27-2011.00,Learn about characters in scripts and their relationships to each other to develop role interpretations.,1.0
25-4011.00,"Create and maintain accessible, retrievable computer archives and databases, incorporating current advances in electronic information storage technology.",1.0
17-1021.00,Determine guidelines that specify which source material is acceptable for use.,1.0
11-3031.02,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,1.0
13-1023.00,Monitor and follow applicable laws and regulations.,1.0
39-6011.00,"Supply guests or travelers with directions, travel information, and other information, such as available services and points of interest.",1.0
51-2093.00,"Review blueprints, sketches, or work orders to gather information about tasks to be completed.",1.0
19-3011.00,"Study economic and statistical data in area of specialization, such as finance, labor, or agriculture.",1.0
49-1011.00,"Examine objects, systems, or facilities and analyze information to determine needed installations, services, or repairs.",1.0
47-4011.00,Estimate cost of completed work or of needed renovations or upgrades.,1.0
39-5092.00,Schedule client appointments and accept payments.,1.0
41-1012.00,Monitor sales staff performance to ensure that goals are met.,1.0
17-1022.00,Develop criteria for the design and modification of survey instruments.,1.0
41-9041.00,"Contact businesses or private individuals by telephone to solicit sales for goods or services, or to request donations for charitable causes.",1.0
43-9111.00,"Code data prior to computer entry, using lists of codes.",1.0
51-4011.00,"Enter commands or load control media, such as tapes, cards, or disks, into machine controllers to retrieve programmed instructions.",1.0
43-9111.00,Interview people and keep track of their responses.,1.0
29-2033.00,Record and process results of procedures.,1.0
13-2099.01,"Identify, track, or maintain metrics for trading system operations.",1.0
19-4061.00,Perform needs assessments or consult with clients to determine the types of research and information required.,1.0
43-4151.00,Recommend merchandise or services that will meet customers' needs.,1.0
15-1199.12,"Implement electronic document processing, retrieval, and distribution systems in collaboration with other information technology specialists.",1.0
43-4171.00,"Operate telephone switchboard to answer, screen, or forward calls, providing information, taking messages, or scheduling appointments.",1.0
13-2099.04,"Design, implement, or maintain fraud detection tools or procedures.",1.0
19-1013.00,"Identify or classify species of insects or allied forms, such as mites or spiders.",1.0
43-9061.00,"Answer telephones, direct calls, and take messages.",1.0
15-1199.08,"Maintain or update business intelligence tools, databases, dashboards, systems, or methods.",1.0
43-4111.00,"Ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency.",1.0
15-1199.08,"Maintain library of model documents, templates, or other reusable knowledge assets.",1.0
13-1071.00,Analyze employment-related data and prepare required reports.,1.0
43-9061.00,"Compile, copy, sort, and file records of office activities, business transactions, and other activities.",1.0
13-2051.00,"Recommend investments and investment timing to companies, investment firm staff, or the public.",1.0
29-1141.01,Assist patients in organizing their health care system activities.,1.0
