occ_code,title,JobFamily,major_group_title,observed_exposure,salary_pct,forecast_risk,auto_prob,job_zone_norm,urgency_score,retraining_label
11-1011,Chief Executives,Management,Management Occupations,0.0333,0.9970238095238095,0.25,-0.01,1.0,0.07382,Low
11-1021,General and Operations Managers,Management,Management Occupations,0.1378,0.9315476190476191,0.014880952380952328,0.16,0.8,0.12084023809523808,Low
11-1031,Legislators,Management,Management Occupations,0.0,0.05654761904761905,0.5647321428571428,-0.01,0.8,0.1691830357142857,Low
11-2011,Advertising and Promotions Managers,Management,Management Occupations,0.1731,0.9657738095238095,0.6614583333333333,0.04,0.8,0.2726045833333333,Low
11-2021,Marketing Managers,Management,Management Occupations,0.3195,0.9851190476190477,0.18452380952380953,0.013999999999999999,0.8,0.20673095238095238,Low
11-2022,Sales Managers,Management,Management Occupations,0.0433,0.9761904761904762,0.13913690476190477,0.013000000000000001,0.8,0.08470422619047618,Low
11-3021,Computer and Information Systems Managers,Management,Management Occupations,0.1559,0.9910714285714286,0.1428571428571429,0.04,0.8,0.13607428571428573,Low
11-3031,Financial Managers,Management,Management Occupations,0.3907,0.9806547619047619,0.08184523809523814,-0.01,1.0,0.17474130952380953,Low
11-3051,Industrial Production Managers,Management,Management Occupations,0.0132,0.9419642857142857,0.3013392857142857,-0.01,0.8,0.10861482142857143,Low
11-3061,Purchasing Managers,Management,Management Occupations,0.2004,0.96875,0.4709821428571429,0.03,0.8,0.23390553571428574,Low
11-3071,"Transportation, Storage, and Distribution Managers",Management,Management Occupations,0.0956,0.9166666666666666,0.33854166666666663,-0.01,0.8,0.15087541666666665,Low
11-3111,Compensation and Benefits Managers,Management,Management Occupations,0.0,0.9732142857142857,0.8147321428571428,0.96,0.8,0.4256830357142857,Medium
11-3121,Human Resources Managers,Management,Management Occupations,0.0,0.9613095238095238,0.28422619047619047,0.006,0.8,0.10225654761904762,Low
11-3131,Training and Development Managers,Management,Management Occupations,0.3777,0.9583333333333334,0.5900297619047619,0.006,0.8,0.3297874404761904,Low
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Management,Management Occupations,0.0,0.7529761904761905,0.05059523809523814,-0.01,0.8,0.040648809523809525,Low
11-9021,Construction Managers,Management,Management Occupations,0.1186,0.9092261904761905,0.13541666666666663,0.07,0.8,0.12529416666666665,Low
11-9031,"Education and Childcare Administrators, Preschool and Daycare",Management,Management Occupations,0.0395,0.49851190476190477,0.48809523809523814,0.015,0.8,0.17082380952380954,Low
11-9032,"Education Administrators, Kindergarten through Secondary",Management,Management Occupations,0.0525,0.9181547619047619,0.203125,0.005,1.0,0.07278125,Low
11-9033,"Education Administrators, Postsecondary",Management,Management Occupations,0.0644,0.9136904761904762,0.25,0.01,1.0,0.09026,Low
11-9041,Architectural and Engineering Managers,Management,Management Occupations,0.0306,0.9895833333333334,0.28273809523809523,-0.01,0.8,0.1109245238095238,Low
11-9051,Food Service Managers,Management,Management Occupations,0.0,0.5877976190476191,0.1160714285714286,0.08,0.4,0.13501785714285713,Low
11-9071,Gambling Managers,Management,Management Occupations,0.0,0.8184523809523809,0.9159226190476191,0.09,0.6,0.3069806547619047,Low
11-9081,Lodging Managers,Management,Management Occupations,0.1215,0.5729166666666666,0.5007440476190477,0.004,0.8,0.20458601190476192,Low
11-9111,Medical and Health Services Managers,Management,Management Occupations,0.0659,0.9255952380952381,0.12648809523809523,0.006999999999999999,1.0,0.05938202380952381,Low
11-9121,Natural Sciences Managers,Management,Management Occupations,0.0613,0.9747023809523809,0.47916666666666663,-0.01,0.8,0.17231166666666667,Low
11-9131,Postmasters and Mail Superintendents,Management,Management Occupations,0.0,0.8214285714285714,0.9389880952380952,0.75,0.4,0.4747470238095238,Medium
