JobFamily,gap,rank,rank_of
"Farming, Fishing, and Forestry",-0.21088697533163336,1.0,96 countries
Food Preparation and Serving Related,-0.1396005988023952,5.0,96 countries
"Installation, Maintenance, and Repair",-0.13470161991805862,6.0,96 countries
Management,-0.04956567391532721,6.0,96 countries
Architecture and Engineering,-0.10375103168276449,9.0,96 countries
"Arts, Design, Entertainment, Sports, and Media",-0.2956698868457417,10.0,96 countries
Healthcare Practitioners and Technical,-0.11540999201108185,11.0,96 countries
Office and Administrative Support,-0.19392816955562556,11.0,96 countries
Sales and Related,-0.008153345414434215,11.0,96 countries
Personal Care and Service,-0.16321651433974152,12.0,96 countries
"Life, Physical, and Social Science",-0.07742646144411033,13.0,96 countries
Community and Social Service,-0.358090235318836,15.0,96 countries
"Education, Training, and Library",-0.18077116343177985,16.0,96 countries
