occ_code,title,observed_exposure,SOCcode,JobName,JobFamily,isBright,isGreen,JobZone,MedianSalary,JobForecast,ChanceAuto,WageGroup,major_group_code
11-1011,Chief Executives,0.0333,11-1011.00,Chief Executives,Management,False,False,5.0,189600.0,16800.0,1.5,,11-0000
11-1011,Chief Executives,0.0333,11-1011.03,Chief Sustainability Officers,Management,False,True,5.0,189600.0,16800.0,-1.0,Chief Executives,11-0000
11-1021,General and Operations Managers,0.1378,11-1021.00,General and Operations Managers,Management,True,True,4.0,100930.0,230000.0,16.0,,11-0000
11-1031,Legislators,0.0,11-1031.00,Legislators,Management,False,False,4.0,24670.0,4300.0,-1.0,,11-0000
11-2011,Advertising and Promotions Managers,0.1731,11-2011.00,Advertising and Promotions Managers,Management,False,False,4.0,117130.0,2700.0,4.0,,11-0000
11-2011,Advertising and Promotions Managers,0.1731,11-2011.01,Green Marketers,Management,False,True,-1.0,117130.0,2700.0,-1.0,Advertising and Promotions Managers,11-0000
11-2021,Marketing Managers,0.3195,11-2021.00,Marketing Managers,Management,True,True,4.0,134290.0,26000.0,1.4,,11-0000
11-2022,Sales Managers,0.0433,11-2022.00,Sales Managers,Management,False,False,4.0,124220.0,39000.0,1.3,,11-0000
11-2032,Public Relations Managers,0.2315,,,,,,,,,,,11-0000
11-3012,Administrative Services Managers,0.0,,,,,,,,,,,11-0000
11-3013,Facilities Managers,0.1345,,,,,,,,,,,11-0000
11-3021,Computer and Information Systems Managers,0.1559,11-3021.00,Computer and Information Systems Managers,Management,True,False,4.0,142530.0,38800.0,4.0,,11-0000
11-3031,Financial Managers,0.3907,11-3031.00,Financial Managers,Management,True,False,-1.0,127990.0,64900.0,7.0,,11-0000
11-3031,Financial Managers,0.3907,11-3031.02,"Financial Managers, Branch or Department",Management,True,False,4.0,127990.0,64900.0,-1.0,Financial Managers,11-0000
11-3031,Financial Managers,0.3907,11-3031.01,Treasurers and Controllers,Management,True,False,5.0,127990.0,64900.0,-1.0,Financial Managers,11-0000
11-3051,Industrial Production Managers,0.0132,11-3051.03,Biofuels Production Managers,Management,False,True,4.0,103380.0,13800.0,-1.0,Industrial Production Managers,11-0000
11-3051,Industrial Production Managers,0.0132,11-3051.04,Biomass Power Plant Managers,Management,False,True,4.0,103380.0,13800.0,-1.0,Industrial Production Managers,11-0000
11-3051,Industrial Production Managers,0.0132,11-3051.02,Geothermal Production Managers,Management,False,True,3.0,103380.0,13800.0,-1.0,Industrial Production Managers,11-0000
11-3051,Industrial Production Managers,0.0132,11-3051.06,Hydroelectric Production Managers,Management,False,True,3.0,103380.0,13800.0,-1.0,Industrial Production Managers,11-0000
11-3051,Industrial Production Managers,0.0132,11-3051.00,Industrial Production Managers,Management,False,True,4.0,103380.0,13800.0,3.0,,11-0000
11-3051,Industrial Production Managers,0.0132,11-3051.05,Methane/Landfill Gas Collection System Operators,Management,False,True,-1.0,103380.0,13800.0,-1.0,Industrial Production Managers,11-0000
11-3051,Industrial Production Managers,0.0132,11-3051.01,Quality Control Systems Managers,Management,False,False,4.0,103380.0,13800.0,-1.0,Industrial Production Managers,11-0000
11-3061,Purchasing Managers,0.2004,11-3061.00,Purchasing Managers,Management,False,False,4.0,118940.0,6400.0,3.0,,11-0000
11-3071,"Transportation, Storage, and Distribution Managers",0.0956,11-3071.03,Logistics Managers,Management,False,True,4.0,94730.0,11400.0,-1.0,"Transportation, Storage, and Distribution Managers",11-0000
11-3071,"Transportation, Storage, and Distribution Managers",0.0956,11-3071.02,Storage and Distribution Managers,Management,False,True,4.0,94730.0,11400.0,-1.0,"Transportation, Storage, and Distribution Managers",11-0000
11-3071,"Transportation, Storage, and Distribution Managers",0.0956,11-3071.01,Transportation Managers,Management,False,True,4.0,94730.0,11400.0,-1.0,"Transportation, Storage, and Distribution Managers",11-0000
11-3071,"Transportation, Storage, and Distribution Managers",0.0956,11-3071.00,"Transportation, Storage, and Distribution Managers",Management,False,False,-1.0,94730.0,11400.0,59.0,,11-0000
11-3111,Compensation and Benefits Managers,0.0,11-3111.00,Compensation and Benefits Managers,Management,False,False,4.0,121010.0,1400.0,96.0,,11-0000
11-3121,Human Resources Managers,0.0,11-3121.00,Human Resources Managers,Management,True,False,4.0,113300.0,14400.0,0.6,,11-0000
11-3131,Training and Development Managers,0.3777,11-3131.00,Training and Development Managers,Management,True,False,4.0,111340.0,3800.0,0.6,,11-0000
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.0,11-9013.03,Aquacultural Managers,Management,False,False,4.0,67950.0,95600.0,-1.0,"Farmers, Ranchers, and Other Agricultural Managers",11-0000
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.0,11-9013.02,Farm and Ranch Managers,Management,False,True,4.0,67950.0,95600.0,-1.0,"Farmers, Ranchers, and Other Agricultural Managers",11-0000
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.0,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Management,False,False,-1.0,67950.0,95600.0,5.0,,11-0000
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.0,11-9013.01,Nursery and Greenhouse Managers,Management,False,False,3.0,67950.0,95600.0,-1.0,"Farmers, Ranchers, and Other Agricultural Managers",11-0000
11-9021,Construction Managers,0.1186,11-9021.00,Construction Managers,Management,True,True,4.0,93370.0,40200.0,7.0,,11-0000
11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.0395,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Management,True,False,4.0,47940.0,5800.0,1.5,,11-0000
11-9032,"Education Administrators, Kindergarten through Secondary",0.0525,11-9032.00,"Education Administrators, Elementary and Secondary School",Management,False,False,5.0,95310.0,22900.0,0.5,,11-0000
11-9033,"Education Administrators, Postsecondary",0.0644,11-9033.00,"Education Administrators, Postsecondary",Management,True,False,5.0,94340.0,16800.0,1.0,,11-0000
11-9041,Architectural and Engineering Managers,0.0306,11-9041.00,Architectural and Engineering Managers,Management,False,True,5.0,140760.0,14600.0,1.7,,11-0000
11-9041,Architectural and Engineering Managers,0.0306,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Management,False,True,4.0,140760.0,14600.0,-1.0,Architectural and Engineering Managers,11-0000
11-9051,Food Service Managers,0.0,11-9051.00,Food Service Managers,Management,True,False,2.0,54240.0,46900.0,8.0,,11-0000
11-9071,Gambling Managers,0.0,11-9071.00,Gaming Managers,Management,True,False,3.0,74700.0,700.0,9.0,,11-0000
11-9081,Lodging Managers,0.1215,11-9081.00,Lodging Managers,Management,False,False,4.0,53390.0,5500.0,0.4,,11-0000
11-9111,Medical and Health Services Managers,0.0659,11-9111.00,Medical and Health Services Managers,Management,True,False,5.0,99730.0,42200.0,0.7,,11-0000
11-9121,Natural Sciences Managers,0.0613,11-9121.01,Clinical Research Coordinators,Management,False,False,4.0,123860.0,6100.0,-1.0,Natural Sciences Managers,11-0000
11-9121,Natural Sciences Managers,0.0613,11-9121.00,Natural Sciences Managers,Management,False,True,5.0,123860.0,6100.0,1.8,,11-0000
11-9121,Natural Sciences Managers,0.0613,11-9121.02,Water Resource Specialists,Management,False,True,4.0,123860.0,6100.0,-1.0,Natural Sciences Managers,11-0000
11-9131,Postmasters and Mail Superintendents,0.0,11-9131.00,Postmasters and Mail Superintendents,Management,False,False,2.0,75970.0,500.0,75.0,,11-0000
11-9141,"Property, Real Estate, and Community Association Managers",0.1653,11-9141.00,"Property, Real Estate, and Community Association Managers",Management,True,False,4.0,58340.0,31600.0,81.0,,11-0000
11-9151,Social and Community Service Managers,0.1808,11-9151.00,Social and Community Service Managers,Management,True,False,4.0,65320.0,17800.0,0.7,,11-0000
11-9161,Emergency Management Directors,0.0,11-9161.00,Emergency Management Directors,Management,False,False,4.0,74420.0,900.0,0.3,,11-0000
11-9171,Funeral Home Managers,0.0108,,,,,,,,,,,11-0000
11-9179,"Personal Service Managers, All Other",0.1244,,,,,,,,,,,11-0000
11-9199,"Managers, All Other",0.0686,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Management,False,True,4.0,107480.0,91300.0,-1.0,"Managers, All Other",11-0000
11-9199,"Managers, All Other",0.0686,11-9199.02,Compliance Managers,Management,False,True,4.0,107480.0,91300.0,-1.0,"Managers, All Other",11-0000
11-9199,"Managers, All Other",0.0686,11-9199.03,Investment Fund Managers,Management,False,False,5.0,107480.0,91300.0,-1.0,"Managers, All Other",11-0000
11-9199,"Managers, All Other",0.0686,11-9199.08,Loss Prevention Managers,Management,False,False,4.0,107480.0,91300.0,-1.0,"Managers, All Other",11-0000
11-9199,"Managers, All Other",0.0686,11-9199.00,"Managers, All Other",Management,False,False,-1.0,107480.0,91300.0,25.0,,11-0000
11-9199,"Managers, All Other",0.0686,11-9199.01,Regulatory Affairs Managers,Management,False,True,4.0,107480.0,91300.0,-1.0,"Managers, All Other",11-0000
11-9199,"Managers, All Other",0.0686,11-9199.07,Security Managers,Management,False,False,4.0,107480.0,91300.0,-1.0,"Managers, All Other",11-0000
11-9199,"Managers, All Other",0.0686,11-9199.04,Supply Chain Managers,Management,False,True,4.0,107480.0,91300.0,-1.0,"Managers, All Other",11-0000
11-9199,"Managers, All Other",0.0686,11-9199.09,Wind Energy Operations Managers,Management,False,True,4.0,107480.0,91300.0,-1.0,"Managers, All Other",11-0000
